analysis,period,threshold_ug_m3,n_pairs,observed_exceedances,modeled_exceedances,true_positive,false_negative,false_positive,true_negative,observed_prevalence_percent,modeled_prevalence_percent,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,precision_ppv,precision_ci95_low,precision_ci95_high,negative_predictive_value,accuracy,balanced_accuracy,f1_score,critical_success_index,false_negative_rate,false_positive_rate,frequency_bias
primary_qc,2018,12.0,20895,7329,7571,4841,2488,2730,10836,35.07537688442211,36.23354869586025,0.6605266748533224,0.6496039837991189,0.6712811755506131,0.7987616099071208,0.7919308397916245,0.8054232283895422,0.6394135517104742,0.6285293520092935,0.6501563487378553,0.8132692885019513,0.7502751854510649,0.7296441423802216,0.6497986577181208,0.4812605626801869,0.3394733251466776,0.20123839009287925,1.0330195115295402
primary_qc,2018,35.0,20895,560,844,282,278,562,19773,2.680067001675042,4.039243838238813,0.5035714285714286,0.46227765517022,0.54481653759873,0.9723629210720433,0.9700190213333746,0.9745283875687405,0.3341232227488152,0.303116091878032,0.36663348560846376,0.9861353548451449,0.9597989949748744,0.7379671748217359,0.4017094017094017,0.25133689839572193,0.49642857142857144,0.027637078927956724,1.5071428571428571
raw_extreme_sensitivity,2008,12.0,10140,5279,5540,4146,1133,1394,3467,52.061143984220905,54.63510848126233,0.7853760181852624,0.7740954227234553,0.7962415869116211,0.7132277309195639,0.7003496805188594,0.7257690363082507,0.7483754512635379,0.7367790815711147,0.7596276105108438,0.753695652173913,0.7507889546351085,0.7493018745524131,0.7664294297069969,0.6213097557320546,0.21462398181473763,0.2867722690804361,1.0494411820420535
raw_extreme_sensitivity,2008,35.0,10140,504,832,301,203,531,9105,4.970414201183432,8.205128205128204,0.5972222222222222,0.5538240128793008,0.6391495978762585,0.9448941469489415,0.9401582491504288,0.9492754657738534,0.36177884615384615,0.3298322387139304,0.3949959597765923,0.978190803609798,0.9276134122287969,0.7710581845855818,0.4505988023952096,0.29082125603864734,0.4027777777777778,0.05510585305105853,1.6507936507936507
raw_extreme_sensitivity,2009,12.0,12392,4453,3580,2364,2089,1216,6723,35.934473854099416,28.8896061975468,0.5308780597350101,0.5162001683097203,0.5455027220759671,0.8468320947222572,0.8387422583207383,0.8545864488617975,0.6603351955307263,0.6446570461258211,0.6756696237871286,0.7629369042215162,0.7332956746287927,0.6888550772286337,0.5885721399228184,0.4170047627447522,0.4691219402649899,0.1531679052777428,0.8039523916460813
raw_extreme_sensitivity,2009,35.0,12392,110,114,9,101,105,12177,0.8876694641704326,0.9199483537766302,0.08181818181818182,0.043640646278655146,0.1482179177889003,0.9914509037616024,0.9896620528014274,0.9929324272317522,0.07894736842105263,0.04208861457422707,0.14325751945427112,0.9917739045447141,0.9833763718528082,0.5366345427898921,0.08035714285714286,0.04186046511627907,0.9181818181818182,0.008549096238397655,1.0363636363636364
raw_extreme_sensitivity,2010,12.0,15125,4902,4566,2684,2218,1882,8341,32.4099173553719,30.188429752066114,0.547531619747042,0.5335663093368166,0.5614224920567004,0.8159053115523819,0.8082743651100782,0.823298934036853,0.5878230398598335,0.573477751939175,0.6020206777606084,0.789942229377782,0.7289256198347107,0.681718465649712,0.5669623996620194,0.3956367924528302,0.452468380252958,0.18409468844761812,0.9314565483476133
raw_extreme_sensitivity,2010,35.0,15125,88,127,8,80,119,14918,0.5818181818181818,0.8396694214876034,0.09090909090909091,0.046786421476167094,0.16925390579510832,0.9920861874044025,0.9905388880395204,0.9933821273183759,0.06299212598425197,0.03226168842199796,0.11938335588987399,0.9946659554607281,0.9868429752066116,0.5414976391567466,0.07441860465116279,0.03864734299516908,0.9090909090909091,0.007913812595597525,1.4431818181818181
raw_extreme_sensitivity,2011,12.0,16360,5985,2257,1799,4186,458,9917,36.58312958435208,13.795843520782396,0.30058479532163745,0.2890994496304983,0.31232596521592504,0.955855421686747,0.9517311758382275,0.9596422214267487,0.797075764288879,0.7799854008562719,0.8131565882770555,0.7031837197759342,0.7161369193154035,0.6282201085041922,0.43654452802717786,0.27921775570386465,0.6994152046783626,0.04414457831325301,0.377109440267335
raw_extreme_sensitivity,2011,35.0,16360,218,26,14,204,12,16130,1.332518337408313,0.1589242053789731,0.06422018348623854,0.03863652350327944,0.10489597484019002,0.9992565976954528,0.998700949077212,0.9995746775668558,0.5384615384615384,0.35457938746858797,0.7124414646960878,0.9875107138484144,0.9867970660146699,0.5317383905908457,0.11475409836065574,0.06086956521739131,0.9357798165137615,0.0007434023045471441,0.11926605504587157
raw_extreme_sensitivity,2012,12.0,17977,5118,2344,1520,3598,824,12035,28.469711297769372,13.03888301718863,0.29699101211410706,0.28462860595395234,0.3096579379176223,0.9359203670580916,0.9315560476464013,0.940024313185307,0.6484641638225256,0.6289070906330488,0.6675354129206607,0.7698458389304677,0.754019024308839,0.6164556895860993,0.4073974805682123,0.2558061258835409,0.7030089878858929,0.0640796329419084,0.4579914028917546
raw_extreme_sensitivity,2012,35.0,17977,52,25,10,42,15,17910,0.28925849696834843,0.13906658508093675,0.19230769230769232,0.10796046024733509,0.3189886081365802,0.999163179916318,0.9986196660148768,0.9994927910059282,0.4,0.23403302377747973,0.5926054264103301,0.9976604278074866,0.9968292818601546,0.5957354361120052,0.2597402597402597,0.14925373134328357,0.8076923076923077,0.0008368200836820083,0.4807692307692308
raw_extreme_sensitivity,2013,12.0,19015,5130,1840,1110,4020,730,13155,26.97870102550618,9.676571128056798,0.21637426900584794,0.20532071996206958,0.2278522708009793,0.9474252790781419,0.9435877378807168,0.9510153171573247,0.6032608695652174,0.5807145619815632,0.6253769098107269,0.765938864628821,0.7501972127267946,0.5818997740419949,0.31850789096126253,0.189419795221843,0.783625730994152,0.05257472092185812,0.3586744639376218
raw_extreme_sensitivity,2013,35.0,19015,109,82,5,104,77,18829,0.5732316592164081,0.4312384959242703,0.045871559633027525,0.019750448413382082,0.10291243600295912,0.9959272188723156,0.9949131555375653,0.9967397909366597,0.06097560975609756,0.02632395506781607,0.1349204950015403,0.9945069455448159,0.990481199053379,0.5208993892526715,0.05235602094240838,0.026881720430107527,0.9541284403669725,0.004072781127684333,0.7522935779816514
raw_extreme_sensitivity,2014,12.0,17098,4645,2049,1379,3266,670,11783,27.166920107614928,11.983857761141655,0.2968783638320775,0.2839116436234805,0.3101807734410736,0.946197703364651,0.9420955241028518,0.950024684437723,0.673011224987799,0.6523918089025162,0.6929831332068968,0.7829756129975414,0.769797637150544,0.6215380335983642,0.4120107559008067,0.2594543744120414,0.7031216361679224,0.05380229663534891,0.4411194833153929
raw_extreme_sensitivity,2014,35.0,17098,55,78,12,43,66,16977,0.32167504971341676,0.4561937068663002,0.21818181818181817,0.12946024041123025,0.34370034021840024,0.9961274423516987,0.9950766045512055,0.9969546782439777,0.15384615384615385,0.09025504908387116,0.24993266533226338,0.9974735605170387,0.9936249853784068,0.6071546302667584,0.18045112781954886,0.09917355371900827,0.7818181818181819,0.0038725576483013553,1.4181818181818182
raw_extreme_sensitivity,2015,12.0,18581,4602,2411,1520,3082,891,13088,24.767235347936065,12.975620257252032,0.33029117774880484,0.31684931599221483,0.3440161276047205,0.9362615351598826,0.9320908905126367,0.9401924744901077,0.6304437992534219,0.6109835577227398,0.6494890284598649,0.809400123685838,0.7861794306011517,0.6332763564543438,0.4334806787394838,0.2767158201347169,0.6697088222511951,0.06373846484011732,0.5239026510212951
raw_extreme_sensitivity,2015,35.0,18581,83,112,31,52,81,18417,0.44669285829610894,0.6027662666164361,0.37349397590361444,0.2771968733976937,0.48098314470449244,0.9956211482322413,0.9945612855331633,0.9964752035001146,0.2767857142857143,0.20237779994217758,0.36599780142699384,0.9971844712761926,0.9928421505839298,0.6845575620679278,0.31794871794871793,0.18902439024390244,0.6265060240963856,0.0043788517677586765,1.3493975903614457
raw_extreme_sensitivity,2016,12.0,19714,5152,2809,1699,3453,1110,13452,26.13371208278381,14.248757228365626,0.3297748447204969,0.31706836534415495,0.34273498314724793,0.9237742068397198,0.9193516215116058,0.9279732676746626,0.6048415806336774,0.5866310048588361,0.6227657950045102,0.7957409050576753,0.7685401237699097,0.6267745257801083,0.4268308001507348,0.27131906739061,0.6702251552795031,0.07622579316028018,0.5452251552795031
raw_extreme_sensitivity,2016,35.0,19714,52,157,8,44,149,19513,0.2637719387237496,0.7963883534543978,0.15384615384615385,0.08007685016780322,0.2752408517641015,0.9924219306276065,0.9911098853255145,0.9935415998675938,0.050955414012738856,0.02604308418590172,0.09731726684656039,0.9977501661809071,0.9902100030435224,0.5731340422368802,0.07655502392344497,0.03980099502487562,0.8461538461538461,0.007578069372393449,3.019230769230769
raw_extreme_sensitivity,2017,12.0,19769,7213,6119,4110,3103,2009,10547,36.48641812939451,30.95250139106682,0.5698045196173576,0.5583445606802292,0.5811901659374946,0.8399968142720612,0.8334804895298995,0.8463051612677719,0.6716783788200686,0.6598076107052568,0.683333725573058,0.7726739926739927,0.7414133238909404,0.7049006669447093,0.6165616561656165,0.44567338972023424,0.43019548038264244,0.16000318572793884,0.8483294052405379
raw_extreme_sensitivity,2017,35.0,19769,329,928,207,122,721,18719,1.6642217613435175,4.694218220446153,0.6291793313069909,0.5757752261060808,0.6796016139701747,0.9629115226337449,0.9601622377826354,0.9654778955272981,0.22306034482758622,0.19744869027476059,0.25095533260430264,0.9935247598322806,0.9573574788810765,0.7960454269703678,0.32935560859188545,0.19714285714285715,0.3708206686930091,0.037088477366255146,2.8206686930091185
raw_extreme_sensitivity,2018,12.0,20898,7330,7574,4842,2488,2732,10836,35.07512680639296,36.24270265097139,0.6605729877216917,0.6496513820694725,0.6713263774331895,0.7986438679245284,0.7918121656368567,0.8053065101588291,0.6392923158172696,0.6284095546135762,0.6500338532442032,0.8132692885019513,0.7502153316106804,0.7296084278231101,0.6497584541062802,0.481216457960644,0.33942701227830835,0.2013561320754717,1.0332878581173262
raw_extreme_sensitivity,2018,35.0,20898,560,847,282,278,565,19773,2.6796822662455737,4.05301942769643,0.5035714285714286,0.46227765517022,0.54481653759873,0.9722194906087127,0.9698701316428431,0.9743904968201207,0.33293978748524206,0.302019361652686,0.36536873155065747,0.9861353548451449,0.959661211599196,0.7378954595900706,0.40085287846481876,0.25066666666666665,0.49642857142857144,0.027780509391287244,1.5125
